month,mean,median,std,p10,p25,p50,p75,p90
16,60.44907105660015,59.7253734690798,27.458172764596483,23.133320575584438,37.15812436123461,59.7253734690798,85.13740642526248,100.0
17,60.511391869976386,60.064961419144865,27.724414341411045,22.60855460395083,36.60988080859979,60.064961419144865,85.68094237653412,100.0
18,60.440999332394114,60.116918066640636,27.99689757265011,22.324228313848717,36.643857454793746,60.116918066640636,86.27702717442719,100.0
19,60.24348519363594,59.995489882858784,28.111536090748142,21.811008801407883,35.88005133721069,59.995489882858784,85.6282748300702,100.0
20,60.25811291861398,60.161862732072024,28.26854825748961,21.658878412357698,35.849587130758806,60.161862732072024,86.12466163126962,100.0
21,60.31152786565871,60.18903259697966,28.348749669538552,21.34050909423331,36.01034895616786,60.18903259697966,86.17394117497273,100.0
22,60.070246416508,59.84005554141255,28.378043452173237,21.191907068156365,35.83511336856574,59.84005554141255,85.75595979476687,100.0
23,59.82225762003533,59.768573826777654,28.435020364044362,20.739433112552938,35.52391041146522,59.768573826777654,85.16419259853734,100.0
24,59.79862064036714,59.854140691692386,28.48323052346306,20.418353189662746,35.36158827309326,59.854140691692386,85.40213904988987,100.0
25,59.6953341382678,60.020555136266196,28.66765230630294,19.955453266778992,35.19848336041198,60.020555136266196,85.40557558799398,100.0
26,59.52292173094029,60.031152372428174,28.78504596227412,19.793524137475305,34.86686326431469,60.031152372428174,85.53661255496475,100.0
27,59.476555480410006,59.56047286966634,28.9253158083604,19.560700281141123,34.811572824158226,59.56047286966634,85.86962737629607,100.0
28,59.32020748321859,59.37168146238111,28.978301282978254,19.34169466619421,34.45471997081199,59.37168146238111,85.66587148103591,100.0
29,59.068339933413824,59.33644428897303,28.970305301953697,19.18755455741347,34.425043513513515,59.33644428897303,85.5157960401653,100.0
30,58.80404825832929,58.91187436973746,29.00250625380568,18.818092439046588,33.8718973429944,58.91187436973746,84.82222645342007,100.0
31,58.72193216817227,58.36182008998695,29.206019473872114,18.656244819595827,33.591343358682536,58.36182008998695,85.22761580094374,100.0
32,58.46804634431242,58.22930911106397,29.329782835755093,18.233555106628753,33.268686520718624,58.22930911106397,85.12885783340491,100.0
33,58.33995681493302,58.378997470098355,29.422753471982507,17.90495183377929,32.99277094047683,58.378997470098355,85.10669923118488,100.0
34,58.19036844847475,58.20965000161754,29.382466917065692,17.800403110738962,32.7379088957593,58.20965000161754,84.978790203638,100.0
35,57.99012913606055,57.94028488385919,29.348295216976254,17.392561063809534,32.82015576526907,57.94028488385919,84.18367851575792,100.0
36,57.99028221732699,57.694155693397065,29.474435283142054,17.394179613528074,32.48001323592066,57.694155693397065,84.45015845270493,100.0
37,58.02638226452607,57.958736354855645,29.58832759709531,17.03624761238376,32.50131053099983,57.958736354855645,85.12952064102205,100.0
38,57.65633355722414,57.14998113185516,29.63582486766078,16.76016994217837,32.23050126365274,57.14998113185516,84.68571499442203,100.0
39,57.43089529212604,57.01142674441658,29.548551751935562,16.802805124885452,32.12842187460865,57.01142674441658,83.81182496657033,100.0
40,57.140949549031156,56.405193799662186,29.56810387514939,16.723137058314464,31.795713064949112,56.405193799662186,83.62625227580709,100.0
41,57.221405098016675,56.64421643797269,29.78101827333818,16.517665516764556,31.53622100783146,56.64421643797269,84.18493100855599,100.0
42,57.13872139301931,56.427029159635296,29.74114800885537,16.05627159450641,31.7280285751013,56.427029159635296,84.13809222047212,100.0
43,56.860288667084404,55.86249075163484,29.76612643628243,15.979525032863117,31.285095815142775,55.86249075163484,83.48829264440175,100.0
44,56.73035577344914,56.05631317653956,29.628275356727112,15.944635947007011,31.479302951918573,56.05631317653956,83.19245790472866,100.0
45,56.832302782996535,56.2982522780474,29.808261202165706,15.815763235063738,31.4878196364616,56.2982522780474,83.5199897632068,100.0
46,56.80093892444973,56.15921041670575,29.944932706640834,15.556845396599194,31.408380549128076,56.15921041670575,83.7124027879176,100.0
47,56.629089526098014,56.15333839818747,29.873666098792853,15.527652072718277,30.82940768772547,56.15333839818747,83.58256805041925,100.0
48,56.72197235677998,56.3821841614097,30.04619194154578,15.160031312357974,30.698138848123293,56.3821841614097,83.98024703475556,100.0
49,56.563958489147645,56.215289720596445,30.116223410851678,14.832514188821389,30.4104585187853,56.215289720596445,83.63315748697983,100.0
50,56.52897684224722,55.74400880108048,30.201998581699648,14.868921014343222,30.51428916632156,55.74400880108048,83.61455841953844,100.0
