month,mean,median,std,p10,p25,p50,p75,p90
39,76.96917443262028,82.56566673759221,22.122837966153863,43.74189672613225,61.914368613545165,82.56566673759221,98.18247647966975,100.0
40,77.15875561057291,82.28950684462771,22.00378514475637,43.767818281461885,62.53783215426835,82.28950684462771,98.3895010358525,100.0
41,77.18276257455753,82.45677893670529,21.99982729195685,44.20551982064427,62.48847158789005,82.45677893670529,97.95618746064089,100.0
42,77.24709099950098,82.74122981117279,22.0288410459259,43.937208062296925,62.56632891332479,82.74122981117279,98.1389501539596,100.0
43,77.32826298754485,82.76245003544145,22.031139860835268,44.1004462074808,62.80231975552147,82.76245003544145,98.43310540314906,100.0
44,77.3397048300336,82.53192424693944,22.053561211944178,44.55453754241328,62.549746482783554,82.53192424693944,98.94959587056994,100.0
45,77.31999436428747,82.54823955385493,22.06823155345839,44.051566429184824,62.73448454102176,82.54823955385493,98.67923497466829,100.0
46,77.36547666946994,82.75498262131362,22.002062141919794,44.229153666892984,63.0704996298018,82.75498262131362,98.63045247990233,100.0
47,77.48075105743992,82.98051188843742,22.080211043129548,44.052463260226794,62.87294814530361,82.98051188843742,98.75198676131099,100.0
48,77.51790726325964,83.02727579786773,22.13131347427002,44.11769080600945,62.78151106386828,83.02727579786773,99.2181748299379,100.0
49,77.54869732039019,82.80727817375379,22.011286479177127,44.225796780684455,63.08799143735474,82.80727817375379,98.8532318342641,100.0
50,77.60455838721302,83.11910852097523,22.009875626326192,44.66352216892847,63.007075671925435,83.11910852097523,98.71614977427032,100.0
51,77.62047845157659,83.16695029897645,22.059324260616787,44.4718265477428,63.067376119751884,83.16695029897645,99.1274176598508,100.0
52,77.5091205745051,83.2260944007548,22.05548814832271,44.08356308254389,63.31201492914604,83.2260944007548,98.3288062568185,100.0
53,77.62806631077106,83.33330045307184,22.03001862256446,44.11469498109767,63.42609770902817,83.33330045307184,98.63543215386954,100.0
54,77.6331212577661,83.25829881513161,21.96658404188862,43.97933979587243,63.68220556633206,83.25829881513161,98.58886390116456,100.0
55,77.73642148572304,83.3609774068041,21.98343116353951,44.01428800387063,63.64551451333304,83.3609774068041,98.91018616208032,100.0
56,77.66119032639553,82.95972239343561,21.996446159053125,44.19360197834517,63.61176215360622,82.95972239343561,98.82813636520491,100.0
57,77.71261762442062,83.25341741824454,21.97314821022211,44.0532185555689,63.50286106569868,83.25341741824454,99.03853380272479,100.0
58,77.68820203665308,83.11523299556754,21.942188782279192,44.483226348352254,63.55169183690833,83.11523299556754,99.04754965247017,100.0
59,77.73391736374312,83.15867452652557,21.91489197887758,44.60867679889307,63.802045577740344,83.15867452652557,98.88554692569502,100.0
60,77.65576958208966,82.79167375757049,21.886707067470816,44.29435588408521,63.76335913062176,82.79167375757049,98.71784474393755,100.0
